@RELATION comb2_new2

@attribute rape numeric
@attribute kidnapping numeric
@attribute dowry_deaths numeric
@attribute assault numeric
@attribute insult_to_modesty numeric
@attribute domestic_cruelty numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186}

@data
13,4,3,7,0,11,42
14,5,10,10,0,10,42
19,5,3,20,0,12,42
23,11,7,18,0,27,42
26,27,6,34,0,16,42
18,14,2,22,0,24,42
27,13,3,16,1,6,42
20,18,5,4,0,16,42
16,17,3,12,0,24,42
23,14,3,10,0,38,42
34,31,7,43,0,34,42
16,125,12,95,0,236,43
27,124,23,65,0,285,43
36,95,17,75,0,284,43
48,101,8,78,0,371,43
26,89,11,61,3,339,43
53,90,9,114,1,405,43
31,65,19,105,3,515,43
45,84,17,108,0,516,43
47,69,17,64,1,546,43
47,86,12,81,0,615,43
70,108,15,105,0,709,43
70,76,13,72,0,668,43
100,155,16,166,1,863,43
34,87,43,124,0,235,44
44,89,42,115,1,250,44
50,60,42,114,0,274,44
43,67,30,98,0,276,44
52,61,31,110,0,297,44
81,68,36,111,0,314,44
73,65,43,141,1,391,44
88,91,38,134,0,429,44
101,128,35,139,0,516,44
105,138,42,122,0,588,44
99,143,53,136,0,556,44
129,154,47,135,0,655,44
316,253,42,288,0,707,44
90,59,10,112,1,151,45
74,50,10,92,1,85,45
53,51,3,89,2,100,45
20,51,7,92,4,86,45
29,29,7,83,1,56,45
27,36,5,79,3,93,45
39,42,4,55,1,100,45
42,45,8,66,1,85,45
40,49,3,43,0,143,45
61,53,8,47,1,151,45
55,95,6,59,2,190,45
56,87,4,49,3,237,45
117,105,13,108,0,205,45
81,94,3,219,5,124,46
51,88,6,188,4,160,46
50,66,3,175,10,187,46
50,63,3,164,5,163,46
45,39,3,121,0,212,46
37,40,5,114,2,169,46
43,28,8,112,1,194,46
52,45,10,169,0,181,46
55,84,9,130,1,289,46
48,72,9,129,2,267,46
60,88,10,158,1,351,46
69,84,7,185,2,313,46
66,102,1,208,0,289,46
13,14,13,71,0,45,47
24,16,8,83,0,66,47
16,15,17,72,0,63,47
14,15,9,95,0,69,47
19,20,13,86,0,72,47
12,21,7,85,0,74,47
19,24,9,78,0,103,47
20,21,14,82,0,116,47
31,29,14,96,0,150,47
34,33,18,71,0,194,47
21,34,27,36,0,201,47
21,35,20,59,0,237,47
55,25,21,190,0,274,47
48,103,24,77,0,209,48
59,79,27,29,0,227,48
41,68,30,55,0,228,48
44,91,16,52,0,295,48
46,58,35,44,0,220,48
35,66,16,40,0,274,48
62,83,30,41,1,360,48
74,75,24,39,0,371,48
82,131,35,39,0,437,48
83,152,33,38,0,437,48
69,139,29,85,0,478,48
108,168,32,79,0,567,48
164,201,34,156,0,574,48
42,223,5,126,3,312,49
46,164,4,134,6,339,49
42,112,6,111,0,286,49
44,118,11,121,6,342,49
39,102,14,87,0,293,49
40,76,9,81,0,221,49
48,47,10,80,1,329,49
42,58,13,77,0,370,49
52,87,7,97,0,518,49
48,130,3,74,1,593,49
52,74,16,90,0,558,49
59,70,10,98,0,609,49
101,107,8,135,0,652,49
35,34,13,53,0,153,50
24,21,13,34,0,142,50
27,28,14,50,0,164,50
41,25,23,48,0,190,50
30,20,12,67,0,199,50
29,27,16,63,0,287,50
32,33,18,76,0,307,50
48,28,12,74,0,306,50
37,36,11,83,0,353,50
41,34,18,58,0,354,50
55,25,17,54,0,446,50
67,35,16,31,0,546,50
100,71,18,63,0,516,50
36,103,2,164,6,157,51
38,83,7,151,3,225,51
42,49,4,152,0,198,51
47,84,4,141,3,228,51
41,58,5,105,0,166,51
39,53,5,103,0,260,51
28,47,2,87,0,204,51
33,52,3,98,0,224,51
37,93,5,138,0,270,51
31,80,3,113,0,285,51
40,99,6,114,0,298,51
43,77,5,90,1,304,51
63,98,2,117,0,326,51
67,169,7,112,5,384,52
73,139,7,121,1,330,52
78,164,6,99,3,379,52
67,144,7,165,4,501,52
61,102,7,118,1,335,52
65,127,9,151,3,437,52
92,119,6,155,2,530,52
40,80,6,73,1,402,52
44,70,7,82,0,463,52
42,96,6,76,0,516,52
50,98,4,48,1,588,52
59,81,6,64,1,608,52
93,150,4,142,0,782,52
24,14,8,73,3,174,53
22,14,8,50,0,163,53
22,14,15,76,1,173,53
15,19,7,44,0,198,53
18,19,7,60,0,149,53
17,11,10,16,0,183,53
27,18,11,38,0,244,53
37,22,16,16,0,212,53
33,22,11,19,0,296,53
49,17,22,10,0,301,53
37,26,10,11,0,342,53
59,26,8,5,0,405,53
73,54,10,15,0,420,53
9,26,8,31,0,60,54
16,27,5,10,0,82,54
17,21,3,20,0,61,54
14,30,14,30,0,89,54
12,16,13,12,0,83,54
16,19,14,34,0,105,54
16,43,12,39,0,112,54
21,48,9,34,0,100,54
13,62,14,19,0,144,54
24,69,18,18,0,162,54
13,72,12,17,0,184,54
14,75,19,9,0,181,54
41,103,11,163,0,221,54
24,33,21,34,0,93,55
26,45,25,43,0,78,55
20,27,21,36,0,92,55
31,27,12,50,0,127,55
25,35,17,30,0,98,55
28,33,25,33,0,116,55
20,41,13,22,0,164,55
21,46,19,9,0,127,55
30,52,32,19,0,180,55
22,53,28,18,0,186,55
32,64,19,12,0,197,55
32,60,30,19,0,195,55
56,72,40,28,0,196,55
17,50,3,56,0,60,56
21,40,4,58,1,42,56
15,29,10,50,1,54,56
17,37,5,44,0,72,56
9,30,3,39,0,50,56
18,20,2,64,0,47,56
10,40,2,58,0,66,56
26,48,11,66,0,94,56
29,36,11,47,0,97,56
26,50,5,56,0,100,56
39,87,5,57,0,134,56
32,65,5,48,0,119,56
86,104,6,99,0,175,56
35,22,20,98,0,241,57
40,27,19,95,1,227,57
56,24,18,93,1,254,57
38,28,12,91,0,291,57
36,18,12,58,0,235,57
31,14,10,65,0,257,57
39,19,14,53,1,179,57
33,29,17,68,0,232,57
54,43,16,60,0,266,57
56,44,15,98,0,427,57
82,38,12,66,0,405,57
92,57,19,43,0,515,57
105,92,15,121,1,599,57
61,203,29,179,1,453,58
57,221,32,187,0,517,58
57,187,32,188,0,482,58
81,182,39,240,3,536,58
82,163,40,212,5,538,58
19,51,6,40,2,156,58
25,45,7,38,0,159,58
20,61,6,54,2,140,58
29,55,6,53,0,179,58
28,66,10,42,0,231,58
31,69,15,59,0,272,58
41,55,10,24,0,201,58
49,94,5,107,0,267,58
18,48,8,42,0,151,58
23,76,11,37,0,168,58
25,69,5,26,0,149,58
23,72,9,31,0,202,58
25,67,13,40,0,234,58
20,38,8,23,0,241,58
37,54,13,29,0,265,58
37,86,4,68,0,300,58
21,38,9,28,0,144,58
14,58,7,26,0,157,58
15,44,9,26,0,162,58
17,62,5,18,0,192,58
18,47,7,33,0,255,58
18,47,6,18,0,215,58
17,21,7,20,0,217,58
42,71,7,39,0,214,58
34,57,14,98,1,169,58
39,66,25,127,5,204,58
35,82,11,108,5,205,58
49,85,14,94,3,256,58
27,90,13,63,1,253,58
37,75,15,37,0,213,58
39,86,11,46,0,281,58
68,99,8,120,0,269,58
23,72,10,25,0,208,58
38,60,0,18,0,257,58
64,128,5,69,0,329,58
2,7,3,21,0,16,59
3,4,5,13,0,17,59
3,6,4,16,0,13,59
2,4,3,14,0,27,59
2,4,5,16,0,16,59
1,3,5,14,0,15,59
4,7,7,9,0,23,59
4,6,10,19,0,24,59
5,9,5,18,0,23,59
3,7,5,25,0,29,59
4,5,5,17,0,20,59
12,5,11,20,0,22,59
17,9,4,88,0,37,59
10,20,12,61,0,96,60
11,25,10,77,0,84,60
6,30,7,72,0,75,60
5,20,8,45,0,75,60
5,14,5,42,0,59,60
10,17,10,41,0,81,60
7,24,9,62,0,107,60
13,17,8,50,0,106,60
19,26,9,39,0,142,60
13,29,14,36,0,122,60
22,47,14,24,0,154,60
13,39,15,40,0,138,60
44,38,12,72,0,180,60
65,57,8,144,10,224,61
61,60,7,150,11,210,61
50,51,11,141,1,191,61
40,61,4,167,5,258,61
40,46,6,160,6,199,61
42,51,10,151,3,189,61
54,35,10,113,0,222,61
44,44,6,144,2,262,61
55,45,7,215,3,379,61
62,48,6,187,4,303,61
67,55,14,201,3,385,61
81,76,5,205,2,434,61
117,113,5,307,5,478,61
19,25,0,50,0,125,62
12,31,15,65,0,122,62
27,33,7,50,0,102,62
26,22,14,55,0,132,62
31,15,11,45,0,98,62
44,13,17,38,0,157,62
31,25,18,39,0,204,62
40,35,22,32,0,240,62
41,50,13,39,0,280,62
49,50,15,45,0,251,62
51,59,21,68,0,284,62
45,55,17,44,0,347,62
72,72,12,40,0,405,62
20,53,12,128,3,263,63
33,76,17,157,5,267,63
34,62,15,96,4,282,63
19,53,15,101,2,270,63
29,58,16,98,5,221,63
20,13,11,16,0,296,63
20,49,1,51,0,205,63
19,15,17,59,0,58,63
24,15,15,49,0,70,63
32,21,17,47,0,81,63
27,29,19,43,0,97,63
17,39,11,29,0,132,63
26,35,17,28,0,133,63
27,28,16,26,0,121,63
50,49,11,88,0,166,63
20,23,5,27,0,5,63
50,55,6,90,0,168,63
21,50,10,37,0,66,64
21,31,15,57,0,55,64
34,50,13,80,0,73,64
45,46,11,70,0,87,64
22,41,14,40,0,116,64
29,31,19,39,0,99,64
28,43,18,35,0,110,64
33,32,11,27,0,99,64
46,49,14,25,0,138,64
42,72,12,24,0,157,64
38,78,18,18,0,174,64
44,77,15,7,0,196,64
48,77,13,79,0,179,64
50,116,17,203,6,319,65
37,132,6,154,3,319,65
35,115,9,146,2,307,65
42,124,10,186,1,400,65
40,93,5,154,1,361,65
18,70,12,49,3,272,65
25,66,10,41,1,261,65
24,55,10,40,1,307,65
23,76,7,51,0,376,65
33,74,2,50,0,369,65
24,74,5,58,0,413,65
45,62,5,73,0,428,65
86,154,6,101,5,512,65
19,19,4,91,3,132,65
30,30,5,73,0,173,65
34,26,4,76,0,201,65
29,32,4,99,3,230,65
36,35,2,67,0,199,65
44,50,5,98,0,235,65
42,44,6,105,2,200,65
45,65,0,166,0,247,65
22,34,14,65,0,102,66
39,28,14,78,0,153,66
32,27,10,115,0,128,66
25,29,16,160,0,154,66
33,40,15,169,0,136,66
35,37,12,193,0,221,66
38,37,12,119,0,252,66
33,48,18,142,0,257,66
53,76,6,117,0,302,66
60,57,22,86,0,348,66
70,60,14,66,0,398,66
53,106,11,66,0,416,66
97,106,20,110,0,500,66
25,61,15,115,2,196,67
25,59,14,116,3,205,67
27,65,9,184,1,190,67
31,83,12,127,0,239,67
