@RELATION comb2_new2

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL

@DATA
Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Year,DISTRICT
25,33,21,48,50,77,1,133
16,32,29,40,45,94,2,133
16,26,18,21,36,65,3,133
24,24,22,35,42,57,4,133
18,44,23,31,63,74,5,133
30,39,25,66,43,126,6,133
36,45,26,62,50,250,7,133
24,62,31,64,65,222,8,133
20,59,25,42,42,197,9,133
24,79,29,49,0,219,10,133
39,123,36,76,0,226,11,133
41,124,34,75,0,235,12,133
59,138,32,99,0,196,13,133
17,25,16,33,27,39,1,134
15,23,6,29,22,41,2,134
5,10,9,10,69,10,3,134
3,15,9,11,22,24,4,134
5,6,10,10,47,29,5,134
7,23,10,8,38,18,6,134
8,26,14,21,32,35,7,134
19,44,12,29,44,74,8,134
15,46,10,22,31,60,9,134
10,41,17,30,0,49,10,134
19,60,7,31,0,64,11,134
9,81,11,31,0,92,12,134
26,94,11,53,1,94,13,134
28,96,34,59,123,236,1,135
35,74,26,47,87,212,2,135
40,55,31,31,165,199,3,135
33,87,19,52,153,279,4,135
37,97,34,66,121,303,5,135
37,85,21,74,91,246,6,135
39,109,38,63,163,405,7,135
50,123,37,73,165,326,8,135
46,141,41,47,123,361,9,135
64,147,43,91,0,344,10,135
79,271,36,99,0,400,11,135
54,231,39,129,0,435,12,135
109,282,42,277,0,209,13,135
16,6,23,16,21,39,1,136
7,11,15,15,8,28,2,136
6,6,12,6,4,8,3,136
12,5,20,18,13,26,4,136
6,7,26,11,11,29,5,136
14,10,22,11,9,53,6,136
10,4,28,13,11,43,7,136
19,19,24,16,6,133,8,136
11,12,19,9,4,178,9,136
2,3,25,4,0,137,10,136
3,5,20,3,0,34,11,136
4,6,24,3,0,29,12,136
5,8,19,5,0,30,13,136
44,72,45,79,85,207,1,137
36,59,35,53,75,174,2,137
43,43,24,25,158,112,3,137
57,83,27,66,126,265,4,137
52,88,38,95,135,209,5,137
44,83,23,69,142,243,6,137
58,97,34,83,115,212,7,137
75,163,38,117,114,139,8,137
69,159,32,63,61,264,9,137
66,184,41,76,0,268,10,137
55,174,30,48,0,210,11,137
36,140,28,72,3,255,12,137
69,173,27,156,1,299,13,137
54,67,24,51,33,265,1,138
30,60,37,34,30,163,2,138
32,36,29,23,205,73,3,138
44,59,23,34,103,73,4,138
44,52,20,46,113,156,5,138
31,91,39,46,88,172,6,138
37,100,34,56,72,277,7,138
40,112,28,39,74,258,8,138
58,138,27,64,86,340,9,138
34,174,40,52,0,341,10,138
19,179,25,37,0,203,11,138
27,177,16,38,0,225,12,138
49,214,25,125,0,270,13,138
18,78,15,25,0,72,11,139
15,51,17,22,0,56,12,139
64,47,44,50,20,195,1,140
41,34,33,19,70,103,2,140
21,20,13,9,137,0,3,140
28,39,21,37,52,163,4,140
24,28,20,23,33,15,5,140
13,20,16,39,37,45,6,140
23,31,18,38,18,38,7,140
41,100,35,90,10,359,8,140
15,56,27,37,15,186,9,140
16,54,30,25,0,113,10,140
12,62,39,31,0,69,11,140
10,62,25,15,0,79,12,140
30,91,35,67,0,125,13,140
11,52,10,13,0,83,11,141
7,62,12,14,0,55,12,141
18,35,33,21,9,44,1,142
18,16,27,18,4,36,2,142
9,19,24,7,12,38,3,142
18,30,22,19,5,37,4,142
15,33,23,17,4,51,5,142
30,50,30,30,14,108,6,142
16,43,27,32,20,107,7,142
33,83,32,52,18,155,8,142
22,73,27,35,12,99,9,142
23,64,34,25,0,74,10,142
24,85,31,35,0,121,11,142
36,109,24,53,0,72,12,142
66,157,30,151,0,39,13,142
58,50,29,57,17,137,1,143
35,35,26,46,22,110,2,143
20,25,16,36,102,38,3,143
42,43,23,54,33,101,4,143
26,41,18,47,27,167,5,143
21,35,23,40,28,170,6,143
31,39,31,53,38,142,7,143
38,51,33,43,44,90,8,143
30,59,29,46,41,114,9,143
27,47,20,39,0,63,10,143
29,55,16,36,0,51,11,143
36,91,23,46,0,50,12,143
43,104,23,66,0,72,13,143
12,80,22,38,0,88,10,144
21,83,29,35,0,65,11,144
18,74,28,32,0,77,12,144
22,27,18,11,0,49,1,145
20,38,11,36,14,106,2,145
13,21,12,12,7,5,3,145
22,30,14,23,6,9,4,145
17,29,13,22,3,4,5,145
11,37,13,32,4,4,6,145
40,54,18,50,13,10,7,145
46,83,21,46,17,4,8,145
51,90,24,48,16,3,9,145
65,96,23,44,0,121,10,145
43,98,26,27,0,86,11,145
26,95,12,32,0,138,12,145
26,93,19,46,0,119,13,145
41,52,21,45,96,196,1,146
15,55,24,19,42,216,2,146
17,50,10,17,70,77,3,146
22,1,19,28,70,173,4,146
15,25,19,35,74,119,5,146
15,29,16,42,48,175,6,146
14,34,16,36,77,194,7,146
8,25,23,23,66,153,8,146
14,36,35,29,39,139,9,146
11,35,26,20,0,140,10,146
21,82,32,16,0,135,11,146
18,91,27,17,1,113,12,146
34,137,34,90,0,198,13,146
42,112,30,94,0,88,13,147
9,16,7,11,6,26,1,148
4,0,6,6,3,16,2,148
0,4,10,5,43,10,3,148
6,10,4,1,12,15,4,148
3,16,6,2,15,11,5,148
4,18,7,7,23,25,6,148
9,20,7,13,16,34,7,148
9,40,7,5,18,12,8,148
13,29,9,9,15,2,9,148
24,44,6,17,0,25,10,148
17,48,6,12,0,19,11,148
18,49,12,5,0,10,12,148
23,60,5,17,0,8,13,148
55,68,66,61,21,146,1,149
40,38,49,52,35,83,2,149
17,60,28,17,63,11,3,149
31,53,41,49,24,21,4,149
26,37,25,40,25,22,5,149
21,37,34,21,25,8,6,149
52,69,56,84,43,13,7,149
68,94,68,80,25,10,8,149
43,105,54,53,16,11,9,149
45,85,50,44,0,12,10,149
40,130,47,54,0,28,11,149
27,120,51,48,0,73,12,149
36,116,43,104,0,142,13,149
34,87,11,66,0,52,13,150
13,18,4,16,8,18,1,151
3,5,3,16,19,12,2,151
3,4,4,2,18,5,3,151
4,9,6,7,4,0,4,151
6,13,6,5,7,8,5,151
6,16,16,12,10,0,6,151
10,9,4,12,5,24,7,151
6,15,6,13,2,4,8,151
8,23,9,27,4,28,9,151
14,23,16,19,0,3,10,151
16,36,16,26,0,1,11,151
22,40,18,20,0,1,12,151
21,50,18,53,0,0,13,151
12,24,13,20,3,28,1,152
6,18,6,19,4,11,2,152
2,7,8,4,7,11,3,152
10,17,16,13,4,27,4,152
4,19,12,13,40,13,5,152
4,28,15,12,58,19,6,152
5,24,9,13,33,45,7,152
12,30,16,30,20,30,8,152
9,29,14,23,6,20,9,152
8,38,15,17,0,33,10,152
9,42,17,21,0,29,11,152
22,47,8,13,0,35,12,152
17,59,8,26,0,33,13,152
85,47,82,71,35,106,1,153
73,61,83,65,13,66,2,153
47,40,50,53,36,37,3,153
72,83,71,73,34,79,4,153
51,86,70,72,31,142,5,153
47,68,58,68,34,83,6,153
67,84,61,69,20,119,7,153
53,129,77,47,21,110,8,153
61,144,75,74,47,84,9,153
11,109,45,54,0,111,10,153
66,202,60,131,0,138,11,153
49,224,45,94,0,125,12,153
95,256,63,211,0,130,13,153
5,6,12,9,4,5,1,154
5,5,8,8,8,8,2,154
5,4,11,7,15,6,3,154
6,12,11,9,14,9,4,154
8,5,10,6,20,11,5,154
8,3,10,14,32,9,6,154
16,8,11,21,35,23,7,154
26,24,20,38,37,30,8,154
25,25,11,16,20,36,9,154
21,20,20,13,0,16,10,154
19,21,8,21,0,16,11,154
21,28,17,18,0,21,12,154
32,17,13,22,0,12,13,154
1,7,9,3,3,23,1,155
0,2,4,1,1,18,2,155
2,1,5,2,3,9,3,155
3,1,13,2,5,21,4,155
1,2,8,3,17,31,5,155
2,4,9,6,14,19,6,155
1,5,14,9,2,29,7,155
2,9,11,2,6,16,8,155
3,5,10,9,7,24,9,155
1,9,11,3,0,8,10,155
2,6,11,3,0,10,11,155
4,18,7,6,0,13,12,155
10,18,13,15,0,19,13,155
29,35,38,34,17,153,1,156
23,28,20,22,15,66,2,156
18,19,19,10,81,38,3,156
18,31,17,21,32,53,4,156
16,24,14,14,21,38,5,156
25,26,23,21,23,55,6,156
34,47,21,30,13,57,7,156
25,49,12,26,19,43,8,156
16,63,28,35,35,60,9,156
14,49,16,41,0,62,10,156
21,46,14,23,0,58,11,156
26,63,15,29,0,84,12,156
29,107,15,87,0,111,13,156
53,79,63,100,12,168,1,157
34,55,57,70,8,118,2,157
23,19,42,28,195,45,3,157
45,52,29,37,26,78,4,157
35,43,40,47,32,72,5,157
37,40,37,35,26,58,6,157
30,61,52,37,26,61,7,157
36,69,52,50,26,61,8,157
48,85,40,61,14,100,9,157
32,76,26,57,0,74,10,157
36,104,30,66,0,85,11,157
41,174,44,81,0,141,12,157
41,173,44,119,0,190,13,157
27,35,31,19,90,119,1,158
16,36,34,23,110,104,2,158
7,7,21,4,71,33,3,158
15,20,30,7,53,52,4,158
8,19,19,8,43,44,5,158
16,36,23,10,46,90,6,158
20,38,35,20,120,197,7,158
12,38,36,14,98,183,8,158
10,35,29,12,72,107,9,158
9,71,26,14,0,166,10,158
11,76,41,17,0,136,11,158
21,85,35,26,0,177,12,158
57,208,36,207,3,347,13,158
39,117,7,54,27,530,1,159
116,353,20,180,8,1756,13,159
5,27,0,26,0,84,1,159
17,62,0,33,0,167,13,159
1,1,0,2,0,2,1,160
4,5,0,7,1,20,13,160
2,34,2,21,0,94,1,161
11,60,0,16,2,157,13,161
3,28,0,27,3,210,1,162
12,70,1,20,4,162,13,162
4,34,0,19,0,56,1,163
23,41,0,30,0,53,13,163
9,51,2,36,7,129,1,164
17,100,1,50,7,220,13,164
0,1,0,0,0,0,13,165
5,15,0,17,0,11,1,166
14,75,0,15,0,1,13,166
4,12,3,37,7,116,1,167
22,61,0,31,6,200,13,167
17,29,4,51,0,165,1,168
14,74,0,33,8,304,13,168
20,22,2,18,2,163,1,169
27,46,1,26,3,480,13,169
14,39,11,44,8,384,1,170
29,76,1,52,12,461,13,170
11,30,0,43,0,122,1,171
14,64,0,21,1,148,13,171
2,22,2,25,1,176,1,172
25,41,0,34,0,249,13,172
28,26,0,29,0,200,13,172
4,49,5,47,1,188,1,173
11,124,0,37,0,321,13,173
8,8,0,7,1,9,1,174
7,21,0,15,0,10,13,174
2,5,0,6,0,17,1,175
9,31,0,13,1,88,13,175
18,35,2,50,2,152,1,176
62,94,0,96,3,377,13,176
5,46,0,1,23,43,1,177
16,96,0,46,0,217,13,177
3,21,0,23,0,78,1,178
19,74,0,47,1,174,13,178
6,5,0,10,0,64,1,179
6,14,0,6,0,79,13,179
5,38,3,19,12,199,1,180
14,47,1,18,4,254,13,180
20,35,2,45,3,206,1,180
30,74,1,41,2,404,13,180
11,37,20,10,1,132,1,181
76,195,2,91,0,491,13,181
26,16,0,11,0,34,1,181
19,27,1,15,0,114,13,181
11,24,2,45,3,75,1,182
18,66,0,51,7,133,13,182
8,17,0,13,0,12,13,183
3,32,0,11,10,90,1,184
19,68,0,107,7,417,13,184
18,34,0,34,0,81,1,184
25,71,0,29,0,110,13,184
9,11,0,10,0,50,1,185
19,49,0,33,0,28,13,185
1,0,0,7,0,7,1,186
0,5,0,2,0,5,13,186
1,2,0,6,0,0,13,186
