@RELATION combined

@attribute rape numeric
@attribute kidnapping numeric
@attribute dowry_deaths numeric
@attribute assault numeric
@attribute insult_to_modesty numeric
@attribute domestic_cruelty numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,63,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207}


@data
12,5,11,20,0,22,23
17,9,4,88,0,37,23
10,20,12,61,0,96,24
11,25,10,77,0,84,24
6,30,7,72,0,75,24
5,20,8,45,0,75,24
5,14,5,42,0,59,24
10,17,10,41,0,81,24
7,24,9,62,0,107,24
13,17,8,50,0,106,24
19,26,9,39,0,142,24
13,29,14,36,0,122,24
22,47,14,24,0,154,24
13,39,15,40,0,138,24
44,38,12,72,0,180,24
65,57,8,144,10,224,25
61,60,7,150,11,210,25
50,51,11,141,1,191,25
40,61,4,167,5,258,25
40,46,6,160,6,199,25
42,51,10,151,3,189,25
54,35,10,113,0,222,25
44,44,6,144,2,262,25
55,45,7,215,3,379,25
62,48,6,187,4,303,25
67,55,14,201,3,385,25
81,76,5,205,2,434,25
117,113,5,307,5,478,25
19,25,0,50,0,125,26
12,31,15,65,0,122,26
27,33,7,50,0,102,26
26,22,14,55,0,132,26
31,15,11,45,0,98,26
44,13,17,38,0,157,26
31,25,18,39,0,204,26
40,35,22,32,0,240,26
41,50,13,39,0,280,26
49,50,15,45,0,251,26
51,59,21,68,0,284,26
45,55,17,44,0,347,26
72,72,12,40,0,405,26
20,53,12,128,3,263,27
33,76,17,157,5,267,27
34,62,15,96,4,282,27
19,53,15,101,2,270,27
29,58,16,98,5,221,27
20,13,11,16,0,296,28
20,49,1,51,0,205,28
19,15,17,59,0,58,29
24,15,15,49,0,70,29
32,21,17,47,0,81,29
27,29,19,43,0,97,29
17,39,11,29,0,132,29
26,35,17,28,0,133,29
27,28,16,26,0,121,29
50,49,11,88,0,166,29
20,23,5,27,0,5,30
50,55,6,90,0,168,30
21,50,10,37,0,66,31
21,31,15,57,0,55,31
34,50,13,80,0,73,31
45,46,11,70,0,87,31
22,41,14,40,0,116,31
29,31,19,39,0,99,31
28,43,18,35,0,110,31
33,32,11,27,0,99,31
46,49,14,25,0,138,31
42,72,12,24,0,157,31
38,78,18,18,0,174,31
44,77,15,7,0,196,31
48,77,13,79,0,179,31
50,116,17,203,6,319,32
37,132,6,154,3,319,32
35,115,9,146,2,307,32
42,124,10,186,1,400,32
40,93,5	154,1,361,32
18,70,12,49,3,272,33
25,66,10,41,1,261,33
24,55,10,40,1,307,33
23,76,7,51,0,376,33
33,74,2,50,0,369,33
24,74,5,58,0,413,33
45,62,5,73,0,428,33
86,154,6,10,5,512,33
22,34,14,65,0,102,34
39,28,14,78,0,153,34
32,27,10,115,0,128,34
25,29,16,160,0,154,34
33,40,15,169,0,136,34
35,37,12,193,0,221,34
38,37,12,119,0,252,34
33,48,18,142,0,257,34
53,76,6,117,0,302,34
60,57,22,86,0,348,34
70,60,14,66,0,398,34
53,106,11,66,0,416,34
97,106,20,110,0,500,34
19,19,4,91,3,132,35
30,30,5,73,0,173,35
34,26,4,76,0,201,35
29,32,4,99,3,230,35
36,35,2,67,0,199,35
44,50,5,98,0,235,35
42,44,6,105,2,200,35
45,65,0,166,0,247,35
25,61,15,115,2,196,36
25,59,14,116,3,205,36
27,65,9,184,1,190,36
31,83,12,127,0,239,36
36,59,8,145,1,211,36
30,62,10,131,1,220,36
39,62,5,108,0,268,36
43,79,13,116,1,323,36
48,92,8,77,4,403,36
53,98,75,0,442,36
64,88,11,84,0,451,36
61,104,9,75,1,464,36
92,138,16,222,0,512,36
49,52,2,51,0,138,37
54,59,2,50,0,180,37
56,56,7,69,0,173,37
103,77,7,65,0,212,37
137,78,2,79,0,276,37
200,138,6,171,0,333,37
13,63,6,40,1,104,38
9,44,7,38,0,74,38
12,53,2,32,2,106,38
7,27,3,29,1,131,38
8,37,0,29,2,117,38
6,30,2,37,1,159,38
5,36,6,28,1,189,38
12,34,0,35,0,195,38
11,42,3,46,2,205,38
14,25,4,41,0,233,38
14,44,2,61,0,234,38
14,53,5,40,1,263,38
40,67,9,72,1,271,38
19,42,6,49,0,97,39
21,37,2,59,0,113,39
21,27,10,56,0,112,39
28,38,13,45,0,113,39
23,29,8,28,0,114,39
20,35,7,44,0,136,39
21,36,13,33,0,131,39
16,39,6,29,0,144,39
17,66,10,18,0,171,39
16,65,0,26,0,179,39
24,72,4,43,0,201,39
19,75,6,39,0,213,39
39,68,5,60,0,206,39
13,22,15,28,0,114,40
13,27,10,42,0,116,40
15,22,17,44,0,111,40
18,39,17,38,0,120,40
21,44,12,22,0,137,40
29,34,9,31,0,165,40
34,42,19,32,0,183,40
40,38,15,18,0,217,40
36,59,21,18,0,323,40
52,86,12,11,0,313,40
50,69,26,11,0,232,40
55,62,18,22,0,322,40
73,133,13,50,0,397,40
22,19,8,29,0,79,41
9,37,3,33,0,83,41
11,32,6,37,0,97,41
14,31,6,44,1,86,41
23,21,4,51,0,104,41
20,25,7,50,1,99,41
23,32,5,51,0,130,41
17,36,5,66,0,110,41
18,25,4,64,1,132,41
20,27,6,63,0,175,41
27,52,5,76,0,156,41
29,64,4,74,1,180,41
47,61,8,109,0,213,41
17,50,7,84,6,142,42
18,72,1,45,3,169,42
11,48,5,45,1,179,42
14,45,5,30,2,205,42
18,52,1,37,1,188,42
12,50,5,18,2,249,42
19,50,3,20,1,212,42
22,46,6,41,3,206,42
20,42,4,26,0,252,42
18,44,4,19,1,338,42
25,75,5,23,0,315,42
19,66,3,24,2,309,42
33,76,5,75,8,352,42
43,118,9,68,2,127,43
39,75,12,71,0,95,43
35,72,5,65,2,136,43
57,115,14,102,2,199,43
45,88,11,101,1,205,43
74,98,7,99,1,258,43
94,108,10,189,2,297,43
91,148,11,159,0,294,43
109,156,15,159,4,353,43
111,151,14,192,6,327,43
110,162,14,150,0,444,43
149,163,9,174,0,499,43
167,265,10,336,0,598,43

39,117,7,54,27,530,44
116,353,20,180,8,1756,44
5,27,0,26,0,84,44
17,62,0,33,0,167,44
1,1,0,2,0,2,45
4,5,0,7,1,20,45
2,34,2,21,0,94,46
11,60,0,16,2,157,46
3,28,0,27,3,210,47
12,70,1,20,4,162,47
4,34,0,19,0,56,48
23,41,0,30,0,53,48
9,51,2,36,7,129,49
17,100,1,50,7,220,49
0,1,0,0,0,0,50
5,15,0,17,0,11,51
14,75,0,15,0,1,51
4,12,3,37,7,116,52
22,61,0,31,6,200,52
17,29,4,51,0,165,53
14,74,0,33,8,304,53
20,22,2,18,2,163,54
27,46,1,26,3,480,54
14,39,11,44,8,384,55
29,76,1,52,12,461,55
11,30,0,43,0,122,56
14,64,0,21,1,148,56
2,22,2,25,1,176,57
25,41,0,34,0,249,58
28,26,0,29,0,200,59
4,49,5,47,1,188,60
11,124,0,37,0,321,60
8,8,0,7,1,9,61
7,21,0,15,0,10,61
2,5,0,6,0,17,62
9,31,0,13,1,88,62
18,35,2,50,2,152,63
62,94,0,96,3,377,64
5,46,0,1,23,43,65
16,96,0,46,0,217,65
3,21,0,23,0,78,66
19,74,0,47,1,174,66
6,5,0,10,0,64,67
6,14,0,6,0,79,67
5,38,3,19,12,199,68
14,47,1,18,4,254,68
20,35,2,45,3,206,69
30,74,1,41,2,404,69
11,37,20,10,1,132,70
76,195,2,91,0,491,70
26,16,0,11,0,34,71
19,27,1,15,0,114,71
11,24,2,45,3,75,72
18,66,0,51,7,133,72
8,17,0,13,0,12,73
3,32,0,11,10,90,74
19,68,0,107,7,417,75
18,34,0,34,0,81,75
25,71,0,29,0,110,75
9,11,0,10,0,50,76
19,49,0,33,0,28,76
1,0,0,7,0,7,77
0,5,0,2,0,5,78
1,2,0,6,0,0,79

66,132,63,110,114,327,80
78,335,98,239,0,399,80
50,78,44,90,54,258,81
99,346,73,300,0,455,81
42,75,56,85,105,226,82
102,239,66,215,0,322,82
19,29,14,15,9,87,83
15,55,17,16,0,4,83
38,110,16,83,0,35,84
23,92,16,57,0,171,85
11,25,21,13,7,26,86
16,70,28,38,0,68,86
11,41,32,14,15,81,87
39,135,36,20,0,155,87
47,41,62,51,14,76,88
54,128,58,102,0,58,88
15,17,20,18,12,64,89
25,72,12,56,0,106,89
14,19,19,15,17,62,90
35,140,42,44,0,1,90
18,17,19,7,22,35,91
18,123,24,107,0,4,91
8,19,12,23,11,30,92
23,65,7,24,0,8,92
27,18,21,51,18,50,93
47,113,32,151,0,129,93
41,55,35,37,21,188,94
39,78,26,39,0,98,94
93,98,57,110,40,421,95
84,291,58,198,0,257,95
18,23,22,28,12,48,96
24,80,11,53,0,44,96
38,59,31,67,38,230,97
71,149,31,178,1,6,97
31,64,45,71,219,227,98
97,255,52,197,2,162,98
4,11,16,13,0,22,99
20,46,16,68,1,0,99
8,3,8,16,4,2,100
23,22,14,35,0,7,100
7,33,27,15,15,44,101
44,145,37,87,0,27,101
57,59,68,68,24,156,102
34,101,32,122,1,99,102
20,22,29,25,26,52,103
23,74,30,30,0,62,103
22,26,17,24,18,49,104
35,135,11,79,1,7,104
9,38,22,23,28,93,105
25,95,34,30,0,38,105
28,27,46,25,15,59,106
42,112,39,87,0,80,106
22,59,48,33,69,89,107
39,187,66,112,0,165,107
2,2,1,18,71,1,108
3,28,3,84,0,1,108
16,30,17,39,40,54,109
39,150,31,136,6,164,109
31,79,33,54,138,140,110
84,289,44,233,0,491,110
6,19,22,18,29,56,111
22,93,27,59,1,76,111
18,21,26,19,13,46,112
24,149,32,62,0,4,112
13,52,16,25,36,52,113
87,282,39,111,0,95,113
14,16,22,32,7,25,114
50,68,15,117,5,0,114
35,71,21,75,0,52,115
70,60,63,86,21,136,116
28,130,24,131,0,122,116
16,26,31,63,26,93,117
37,86,21,73,0,76,117
23,36,14,35,22,98,118
6,14,29,40,21,65,119
7,52,22,52,0,33,119
11,15,43,21,19,85,120
53,131,60,75,0,77,120
18,20,31,32,30,69,121
40,74,24,72,1,65,121
8,19,22,18,7,63,122
16,84,26,40,0,59,122
21,34,39,45,7,79,123
29,74,32,45,0,67,123
47,176,64,106,213,356,124
41,248,56,110,0,239,124
17,89,24,43,0,27,125
26,23,28,44,9,72,126
27,56,22,108,0,67,126
83,90,88,99,24,138,127
49,189,57,85,0,152,127
7,20,18,19,35,14,128
33,143,29,66,0,48,128
20,5,10,26,9,31,129
10,26,11,50,0,18,129
62,138,47,103,148,337,130
76,375,60,360,1,920,130
13,13,7,13,37,10,131
28,116,23,40,0,58,131
12,7,11,22,3,4,132
30,45,16,61,0,26,132
13,31,42,32,3,63,133
20,142,38,92,0,94,133
25,33,21,48,50,77,134
59,138,32,99,0,196,134
17,25,16,33,27,39,135
26,94,11,53,1,94,135
28,96,34,59,123,236,136
109,282,42,277,0,209,136
16,6,23,16,21,39,137
5,8,19,5,0,30,137
44,72,45,79,85,207,138
69,173,27,156,1,299,138
54,67,24,51,33,265,139
49,214,25,125,0,270,139
64,47,44,50,20,195,140
30,91,35,67,0,125,140
18,35,33,21,9,44,141
66,157,30,151,0,39,141
58,50,29,57,17,137,142
43,104,23,66,0,72,142
22,27,18,11,0,49,143
26,93,19,46,0,119,143
41,52,21,45,96,196,144
34,137,34,90,0,198,144
42,112,30,94,0,88,145
9,16,7,11,6,26,146
23,60,5,17,0,8,146
55,68,66,61,21,146,147
36,116,43,104,0,142,147
34,87,11,66,0,52,148
13,18,4,16,8,18,149
21,50,18,53,0,0,149
12,24,13,20,3,28,150
17,59,8,26,0,33,150
85,47,82,71,35,106,151
95,256,63,211,0,130,151
5,6,12,9,4,5,152
32,17,13,22,0,12,152
1,7,9,3,3,23,153
10,18,13,15,0,19,153
29,35,38,34,17,153,154
29,107,15,87,0,111,154
53,79,63,100,12,168,155
41,173,44,119,0,190,155
27,35,31,19,90,119,156
57,208,36,207,3,347,156

11,32,11,27,0,132,157
15,18,7,17,0,122,157
10,24,7,17,31,129,157
10,22,11,25,27,227,157
19,19,9,19,16,130,157
19,16,9,26,27,174,157
23,10,16,11,15,154,157
35,49,11,27,21,172,157
28,16,14,18,17,155,157
30,23,9,20,14,220,157
37,23,5,28,20,191,157
10,7,33,17,0,43,158
17,13,35,29,0,54,158
15,7,28,17,0,69,158
28,12,28,19,0,68,158
18,22,19,20,16,87,158
35,26,19,38,8,100,158
17,23,17,23,15,128,158
33,36,14,24,20,111,158
37,53,17,37,21,88,158
30,36,22,45,15,64,158
41,30,18,26,12,97,158
28,69,19,45,23,179,158
52,118,20,97,36,144,158
37,53,19,47,242,108,159
37,39,19,56,1122,92,159
36,49,14,34,980,136,159
42,49,28,45,585,157,159
39,67,18,42,253,188,159
40,66,14,35,144,146,159
37,117,19,23,0,167,159
46,94,21,23,97,173,159
35,62,17,26,4,179,159
51,86,23,27,78,224,159
54,82,10,31,59,218,159
47,87,8,31,84,197,159
65,115,22,90,56,255,159
17,13,17,17,0,93,160
7,15,9,22,5,54,160
7,7,3,11,4,47,160
9,9,6,17,3,38,161
9,15,5,17,8,66,161
18,5,6,17,7,83,161
7,8,2,16,12,122,161
12,21,4,16,13,143,161
9,34,12,10,7,80,161
21,31,5,13,9,79,161
15,18,7,6,8,86,161
15,33,4,7,7,125,161
30,41,2,46,25,193,161
0,2,5,1,26,0,162
1,0,14,1,58,0,162
1,0,3,0,50,0,162
2,0,7,3,111,0,162
2,2,7,2,116,0,162
1,1,6,6,113,0,162
2,3,5,6,153,0,162
1,3,6,7,158,0,162
3,1,10,2,216,1,162
1,2,5,8,144,0,162
0,2,4,2,130,0,162
1,7,5,9,83,1,162
2,7,3,18,51,0,162
32,32,17,21,21,136,163
27,36,11,35,57,128,163
32,37,13,17,26,101,163
36,34,21,21,18,115,163
17,22,10,20,31,71,163
30,51,20,32,56,89,163
40,75,17,36,43,122,163
